primary_svc_cd,servc_type,Consumer-Friendly Title,Consumer-Friendly Description,total_claim_count
99392,CPT,99392: Well-Child Visit (Ages 1-4) 99391: Infant Well-Child Check-up,"99392: Well-Child Visit (Ages 1-4)
99391: Infant Well-Child Check-up",160
99396,CPT,99396: Established Preventive Visit (Ages 40-64) 99386: New Patient Preventive E,"99396: Established Preventive Visit (Ages 40-64)
99386: New Patient Preventive Exam (Ages 40-64)
99202/99203/99204: New Patient Office Visit
99212/99213/99214: Established Patient Office Visit",179
99213,CPT,99202/99203/99204: New Patient Office Visit 99212/99213/99214: Established Patie,"99202/99203/99204: New Patient Office Visit
99212/99213/99214: Established Patient Office Visit",219
99204,CPT,99202/99203/99204: New Patient Office Visit 99212/99213/99214: Established Patie,"99202/99203/99204: New Patient Office Visit
99212/99213/99214: Established Patient Office Visit",256
99214,CPT,99202/99203/99204: New Patient Office Visit 99212/99213/99214: Established Patie,"99202/99203/99204: New Patient Office Visit
99212/99213/99214: Established Patient Office Visit",138
99396,CPT,99385/99395/99386/99396: Preventative Visit G0439: Yearly Wellness Follow-up Vis,"99385/99395/99386/99396: Preventative Visit
G0439: Yearly Wellness Follow-up Visit
G0438: Initial Annual Wellness Visit",179
99214,CPT, 99212/99213/99214: Established Patient Office Visit,"
99212/99213/99214: Established Patient Office Visit",138
99214,CPT,99439: Chronic Condition Management Support 99424: Managing a Complex Chronic Co,"99439: Chronic Condition Management Support
99424: Managing a Complex Chronic Condition
99490: Ongoing Support for Chronic Conditions
99426: Care Management for One Complex Condition",138
99459,CPT,99459: Pelvic Health Examination 99202/99203/99204: New Patient Office Visit 992,"99459: Pelvic Health Examination
99202/99203/99204: New Patient Office Visit
99212/99213/99214: Established Patient Office Visit",69
99204,CPT, 99202/99203/99204: New Patient Office Visit 99212/99213/99214: Established Pati,"
99202/99203/99204: New Patient Office Visit
99212/99213/99214: Established Patient Office Visit",256
99391,CPT,99392: Well-Child Visit (Ages 1-4) 99391: Infant Well-Child Check-up,"99392: Well-Child Visit (Ages 1-4)
99391: Infant Well-Child Check-up",69
58558,CPT,"58558: Uterine Scope, Biopsy & Polyp Removal","58558: Uterine Scope, Biopsy & Polyp Removal",207
57454,CPT,57454: Cervix and Vagina Exam with Biopsy 57452: Detailed Cervical and Vaginal E,"57454: Cervix and Vagina Exam with Biopsy
57452: Detailed Cervical and Vaginal Exam",69
58558,CPT,"58558: Uterine Scope, Biopsy & Polyp Removal 58561: Surgical Removal of Uterine ","58558: Uterine Scope, Biopsy & Polyp Removal
58561: Surgical Removal of Uterine Fibroids",207
58100,CPT,58100: Uterine Lining Biopsy,58100: Uterine Lining Biopsy,69
99396,CPT,S0612: Annual Gynecological Exam,S0612: Annual Gynecological Exam,179
11102,CPT,11102: Skin Surface Biopsy 11103: Additional Skin Biopsy Sample,"11102: Skin Surface Biopsy
11103: Additional Skin Biopsy Sample",69
99204,CPT, 99202/99203/99204: New Patient Office Visit 99212/99213/99214: Established Pati,"
99202/99203/99204: New Patient Office Visit
99212/99213/99214: Established Patient Office Visit
11105: Additional Skin Biopsy Sample",256
